Flag N d M NbThreads AvgTime Probability
1 100 0.260 100 2 145 1.000
1 100 0.280 100 2 154 1.000
1 100 0.300 100 2 162 1.000
1 100 0.320 100 2 170 1.000
1 100 0.340 100 2 176 1.000
1 100 0.360 100 2 181 1.000
1 100 0.380 100 2 185 1.000
1 100 0.400 100 2 190 1.000
1 100 0.420 100 2 195 1.000
1 100 0.440 100 2 200 1.000
1 100 0.460 100 2 203 1.000
1 100 0.480 100 2 208 1.000
1 100 0.500 100 2 210 1.000
1 100 0.520 100 2 215 1.000
1 100 0.540 100 2 217 1.000
1 100 0.560 100 2 220 1.000
1 100 0.580 100 2 223 1.000
1 100 0.600 100 2 226 1.000
1 100 0.620 100 2 228 1.000
1 100 0.640 100 2 229 1.000
1 100 0.660 100 2 232 1.000
1 100 0.680 100 2 234 1.000
1 100 0.700 100 2 237 1.000
1 100 0.720 100 2 238 1.000
1 100 0.740 100 2 240 1.000
1 100 0.760 100 2 241 1.000
1 100 0.780 100 2 243 1.000
1 100 0.800 100 2 245 1.000
1 100 0.820 100 2 246 1.000
1 100 0.840 100 2 246 1.000
1 100 0.860 100 2 248 1.000
1 100 0.880 100 2 250 1.000
1 100 0.900 100 2 251 1.000
1 100 0.920 100 2 253 1.000
1 100 0.940 100 2 253 1.000
1 100 0.960 100 2 255 1.000
1 100 0.980 100 2 258 1.000
1 100 1.000 100 2 260 1.000
1 100 0.000 1000 2 326 0.000
1 100 0.020 1000 2 334 0.000
1 100 0.040 1000 2 335 0.000
1 100 0.060 1000 2 343 0.000
1 100 0.080 1000 2 354 0.000
1 100 0.100 1000 2 363 0.000
1 100 0.120 1000 2 364 0.000
1 100 0.140 1000 2 398 0.000
1 100 0.160 1000 2 473 0.000
1 100 0.180 1000 2 482 0.000
1 100 0.200 1000 2 692 0.000
1 100 0.220 1000 2 1181 0.760
1 100 0.240 1000 2 1377 1.000
1 100 0.260 1000 2 1461 1.000
1 100 0.280 1000 2 1538 1.000
1 100 0.300 1000 2 1619 1.000
1 100 0.320 1000 2 1684 1.000
1 100 0.340 1000 2 1745 1.000
1 100 0.360 1000 2 1803 1.000
1 100 0.380 1000 2 1852 1.000
1 100 0.400 1000 2 1900 1.000
1 100 0.420 1000 2 1953 1.000
1 100 0.440 1000 2 1984 1.000
1 100 0.460 1000 2 2032 1.000
1 100 0.480 1000 2 2069 1.000
1 100 0.500 1000 2 2116 1.000
1 100 0.520 1000 2 2138 1.000
1 100 0.540 1000 2 2177 1.000
1 100 0.560 1000 2 2204 1.000
1 100 0.580 1000 2 2227 1.000
1 100 0.600 1000 2 2261 1.000
1 100 0.620 1000 2 2280 1.000
1 100 0.640 1000 2 2303 1.000
1 100 0.660 1000 2 2319 1.000
1 100 0.680 1000 2 2345 1.000
1 100 0.700 1000 2 2357 1.000
1 100 0.720 1000 2 2384 1.000
1 100 0.740 1000 2 2395 1.000
1 100 0.760 1000 2 2412 1.000
1 100 0.780 1000 2 2422 1.000
1 100 0.800 1000 2 2434 1.000
1 100 0.820 1000 2 2451 1.000
1 100 0.840 1000 2 2463 1.000
1 100 0.860 1000 2 2476 1.000
1 100 0.880 1000 2 2483 1.000
1 100 0.900 1000 2 2498 1.000
1 100 0.920 1000 2 2516 1.000
1 100 0.940 1000 2 2528 1.000
1 100 0.960 1000 2 2553 1.000
1 100 0.980 1000 2 2568 1.000
1 100 1.000 1000 2 2591 1.000
1 100 0.000 10000 2 3259 0.000
1 100 0.020 10000 2 3310 0.000
1 100 0.040 10000 2 3360 0.000
1 100 0.060 10000 2 3414 0.000
1 100 0.080 10000 2 3510 0.000
1 100 0.100 10000 2 3589 0.000
1 100 0.120 10000 2 3766 0.000
1 100 0.140 10000 2 4003 0.000
1 100 0.160 10000 2 4350 0.000
1 100 0.180 10000 2 4484 0.000
1 100 0.200 10000 2 6122 0.214
1 100 0.220 10000 2 9994 0.653
1 100 0.240 10000 2 13421 1.000
1 100 0.260 10000 2 14363 1.000
1 100 0.280 10000 2 15317 1.000
1 100 0.300 10000 2 16114 1.000
1 100 0.320 10000 2 16773 1.000
1 100 0.340 10000 2 17400 1.000
1 100 0.360 10000 2 17991 1.000
1 100 0.380 10000 2 18517 1.000
1 100 0.400 10000 2 19027 1.000
1 100 0.420 10000 2 19513 1.000
1 100 0.440 10000 2 19956 1.000
1 100 0.460 10000 2 20333 1.000
1 100 0.480 10000 2 20709 1.000
1 100 0.500 10000 2 21076 1.000
1 100 0.520 10000 2 21420 1.000
1 100 0.540 10000 2 21719 1.000
1 100 0.560 10000 2 22014 1.000
1 100 0.580 10000 2 22302 1.000
1 100 0.600 10000 2 22549 1.000
1 100 0.620 10000 2 22816 1.000
1 100 0.640 10000 2 23035 1.000
1 100 0.660 10000 2 23244 1.000
